Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,DeAndre Hopkins (25777084),DeAndre Hopkins,25777084,CPT,17400,NE@ARI 12/12/2022 08:15PM ET,ARI,21.73
QB,Kyler Murray (25777085),Kyler Murray,25777085,CPT,16800,NE@ARI 12/12/2022 08:15PM ET,ARI,21.79
RB,James Conner (25777086),James Conner,25777086,CPT,15000,NE@ARI 12/12/2022 08:15PM ET,ARI,13.74
QB,Mac Jones (25777087),Mac Jones,25777087,CPT,14400,NE@ARI 12/12/2022 08:15PM ET,NE,13.26
RB,Rhamondre Stevenson (25777088),Rhamondre Stevenson,25777088,CPT,13200,NE@ARI 12/12/2022 08:15PM ET,NE,16.72
WR,DeAndre Hopkins (25777138),DeAndre Hopkins,25777138,FLEX,11600,NE@ARI 12/12/2022 08:15PM ET,ARI,21.73
WR,Marquise Brown (25777089),Marquise Brown,25777089,CPT,11400,NE@ARI 12/12/2022 08:15PM ET,ARI,17.59
QB,Kyler Murray (25777139),Kyler Murray,25777139,FLEX,11200,NE@ARI 12/12/2022 08:15PM ET,ARI,21.79
RB,Damien Harris (25777090),Damien Harris,25777090,CPT,11100,NE@ARI 12/12/2022 08:15PM ET,NE,8.53
WR,Rondale Moore (25777091),Rondale Moore,25777091,CPT,10500,NE@ARI 12/12/2022 08:15PM ET,ARI,10.99
WR,Jakobi Meyers (25777092),Jakobi Meyers,25777092,CPT,10200,NE@ARI 12/12/2022 08:15PM ET,NE,13.02
RB,James Conner (25777140),James Conner,25777140,FLEX,10000,NE@ARI 12/12/2022 08:15PM ET,ARI,13.74
QB,Mac Jones (25777141),Mac Jones,25777141,FLEX,9600,NE@ARI 12/12/2022 08:15PM ET,NE,13.26
QB,Bailey Zappe (25777093),Bailey Zappe,25777093,CPT,9000,NE@ARI 12/12/2022 08:15PM ET,NE,12.16
QB,Colt McCoy (25777094),Colt McCoy,25777094,CPT,9000,NE@ARI 12/12/2022 08:15PM ET,ARI,11.12
QB,Brian Hoyer (25777095),Brian Hoyer,25777095,CPT,9000,NE@ARI 12/12/2022 08:15PM ET,NE,1.48
QB,Trace McSorley (25777096),Trace McSorley,25777096,CPT,9000,NE@ARI 12/12/2022 08:15PM ET,ARI,1.48
QB,Garrett Gilbert (25777097),Garrett Gilbert,25777097,CPT,9000,NE@ARI 12/12/2022 08:15PM ET,NE,0
RB,Rhamondre Stevenson (25777142),Rhamondre Stevenson,25777142,FLEX,8800,NE@ARI 12/12/2022 08:15PM ET,NE,16.72
WR,DeVante Parker (25777098),DeVante Parker,25777098,CPT,8700,NE@ARI 12/12/2022 08:15PM ET,NE,6.87
TE,Hunter Henry (25777099),Hunter Henry,25777099,CPT,8400,NE@ARI 12/12/2022 08:15PM ET,NE,5.88
WR,Kendrick Bourne (25777100),Kendrick Bourne,25777100,CPT,8100,NE@ARI 12/12/2022 08:15PM ET,NE,3.86
WR,A.J. Green (25777101),A.J. Green,25777101,CPT,7800,NE@ARI 12/12/2022 08:15PM ET,ARI,3.81
WR,Marquise Brown (25777143),Marquise Brown,25777143,FLEX,7600,NE@ARI 12/12/2022 08:15PM ET,ARI,17.59
WR,Nelson Agholor (25777102),Nelson Agholor,25777102,CPT,7500,NE@ARI 12/12/2022 08:15PM ET,NE,6.43
RB,Damien Harris (25777144),Damien Harris,25777144,FLEX,7400,NE@ARI 12/12/2022 08:15PM ET,NE,8.53
WR,Rondale Moore (25777145),Rondale Moore,25777145,FLEX,7000,NE@ARI 12/12/2022 08:15PM ET,ARI,10.99
WR,Jakobi Meyers (25777146),Jakobi Meyers,25777146,FLEX,6800,NE@ARI 12/12/2022 08:15PM ET,NE,13.02
DST,Patriots  (25777103),Patriots ,25777103,CPT,6600,NE@ARI 12/12/2022 08:15PM ET,NE,10.42
K,Tristan Vizcaino (25777104),Tristan Vizcaino,25777104,CPT,6300,NE@ARI 12/12/2022 08:15PM ET,NE,5
K,Quinn Nordin (25777105),Quinn Nordin,25777105,CPT,6300,NE@ARI 12/12/2022 08:15PM ET,NE,0
K,Nick Folk (25777106),Nick Folk,25777106,CPT,6300,NE@ARI 12/12/2022 08:15PM ET,NE,9.25
QB,Bailey Zappe (25777147),Bailey Zappe,25777147,FLEX,6000,NE@ARI 12/12/2022 08:15PM ET,NE,12.16
QB,Colt McCoy (25777148),Colt McCoy,25777148,FLEX,6000,NE@ARI 12/12/2022 08:15PM ET,ARI,11.12
QB,Brian Hoyer (25777149),Brian Hoyer,25777149,FLEX,6000,NE@ARI 12/12/2022 08:15PM ET,NE,1.48
QB,Trace McSorley (25777150),Trace McSorley,25777150,FLEX,6000,NE@ARI 12/12/2022 08:15PM ET,ARI,1.48
QB,Garrett Gilbert (25777151),Garrett Gilbert,25777151,FLEX,6000,NE@ARI 12/12/2022 08:15PM ET,NE,0
K,Matt Prater (25777107),Matt Prater,25777107,CPT,6000,NE@ARI 12/12/2022 08:15PM ET,ARI,6
WR,DeVante Parker (25777152),DeVante Parker,25777152,FLEX,5800,NE@ARI 12/12/2022 08:15PM ET,NE,6.87
DST,Cardinals  (25777108),Cardinals ,25777108,CPT,5700,NE@ARI 12/12/2022 08:15PM ET,ARI,6.67
TE,Hunter Henry (25777153),Hunter Henry,25777153,FLEX,5600,NE@ARI 12/12/2022 08:15PM ET,NE,5.88
WR,Kendrick Bourne (25777154),Kendrick Bourne,25777154,FLEX,5400,NE@ARI 12/12/2022 08:15PM ET,NE,3.86
WR,A.J. Green (25777155),A.J. Green,25777155,FLEX,5200,NE@ARI 12/12/2022 08:15PM ET,ARI,3.81
WR,Nelson Agholor (25777156),Nelson Agholor,25777156,FLEX,5000,NE@ARI 12/12/2022 08:15PM ET,NE,6.43
TE,Jonnu Smith (25777109),Jonnu Smith,25777109,CPT,4500,NE@ARI 12/12/2022 08:15PM ET,NE,3.86
DST,Patriots  (25777157),Patriots ,25777157,FLEX,4400,NE@ARI 12/12/2022 08:15PM ET,NE,10.42
K,Tristan Vizcaino (25777158),Tristan Vizcaino,25777158,FLEX,4200,NE@ARI 12/12/2022 08:15PM ET,NE,5
K,Quinn Nordin (25777159),Quinn Nordin,25777159,FLEX,4200,NE@ARI 12/12/2022 08:15PM ET,NE,0
K,Nick Folk (25777160),Nick Folk,25777160,FLEX,4200,NE@ARI 12/12/2022 08:15PM ET,NE,9.25
K,Matt Prater (25777161),Matt Prater,25777161,FLEX,4000,NE@ARI 12/12/2022 08:15PM ET,ARI,6
RB,Keaontay Ingram (25777110),Keaontay Ingram,25777110,CPT,3900,NE@ARI 12/12/2022 08:15PM ET,ARI,2.21
DST,Cardinals  (25777162),Cardinals ,25777162,FLEX,3800,NE@ARI 12/12/2022 08:15PM ET,ARI,6.67
