Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Stephen Curry (25905099),Stephen Curry,25905099,CPT,17400,GSW@IND 12/14/2022 07:00PM ET,GSW,52.18
PG,Tyrese Haliburton (25905100),Tyrese Haliburton,25905100,CPT,15000,GSW@IND 12/14/2022 07:00PM ET,IND,46.14
PG/SG,Jordan Poole (25905101),Jordan Poole,25905101,CPT,12900,GSW@IND 12/14/2022 07:00PM ET,GSW,29.11
SG,Klay Thompson (25905102),Klay Thompson,25905102,CPT,12000,GSW@IND 12/14/2022 07:00PM ET,GSW,30.03
C,Myles Turner (25905103),Myles Turner,25905103,CPT,11700,GSW@IND 12/14/2022 07:00PM ET,IND,35.81
PG,Stephen Curry (25905066),Stephen Curry,25905066,UTIL,11600,GSW@IND 12/14/2022 07:00PM ET,GSW,52.18
SF/PF,Andrew Wiggins (25905104),Andrew Wiggins,25905104,CPT,11400,GSW@IND 12/14/2022 07:00PM ET,GSW,34.03
SG/SF,Buddy Hield (25905105),Buddy Hield,25905105,CPT,10800,GSW@IND 12/14/2022 07:00PM ET,IND,31.13
PF,Draymond Green (25905106),Draymond Green,25905106,CPT,10200,GSW@IND 12/14/2022 07:00PM ET,GSW,28.81
PG,Tyrese Haliburton (25905067),Tyrese Haliburton,25905067,UTIL,10000,GSW@IND 12/14/2022 07:00PM ET,IND,46.14
C,Kevon Looney (25905107),Kevon Looney,25905107,CPT,9600,GSW@IND 12/14/2022 07:00PM ET,GSW,21.72
SG/SF,Bennedict Mathurin (25905108),Bennedict Mathurin,25905108,CPT,9300,GSW@IND 12/14/2022 07:00PM ET,IND,26.24
PG/SG,Andrew Nembhard (25905109),Andrew Nembhard,25905109,CPT,9000,GSW@IND 12/14/2022 07:00PM ET,IND,21.33
PF/C,Jonathan Kuminga (25905110),Jonathan Kuminga,25905110,CPT,8700,GSW@IND 12/14/2022 07:00PM ET,GSW,14.23
PG/SG,Jordan Poole (25905068),Jordan Poole,25905068,UTIL,8600,GSW@IND 12/14/2022 07:00PM ET,GSW,29.11
PG/SG,Donte DiVincenzo (25905111),Donte DiVincenzo,25905111,CPT,8400,GSW@IND 12/14/2022 07:00PM ET,GSW,16.22
SG,Klay Thompson (25905069),Klay Thompson,25905069,UTIL,8000,GSW@IND 12/14/2022 07:00PM ET,GSW,30.03
C,Myles Turner (25905070),Myles Turner,25905070,UTIL,7800,GSW@IND 12/14/2022 07:00PM ET,IND,35.81
SF/PF,Andrew Wiggins (25905071),Andrew Wiggins,25905071,UTIL,7600,GSW@IND 12/14/2022 07:00PM ET,GSW,34.03
SG/SF,Buddy Hield (25905072),Buddy Hield,25905072,UTIL,7200,GSW@IND 12/14/2022 07:00PM ET,IND,31.13
PF,Draymond Green (25905073),Draymond Green,25905073,UTIL,6800,GSW@IND 12/14/2022 07:00PM ET,GSW,28.81
SF/PF,Anthony Lamb (25905112),Anthony Lamb,25905112,CPT,6600,GSW@IND 12/14/2022 07:00PM ET,GSW,14.08
C,Kevon Looney (25905074),Kevon Looney,25905074,UTIL,6400,GSW@IND 12/14/2022 07:00PM ET,GSW,21.72
SG/SF,Moses Moody (25905113),Moses Moody,25905113,CPT,6300,GSW@IND 12/14/2022 07:00PM ET,GSW,9.06
SG/SF,Bennedict Mathurin (25905075),Bennedict Mathurin,25905075,UTIL,6200,GSW@IND 12/14/2022 07:00PM ET,IND,26.24
PG/SG,Andrew Nembhard (25905076),Andrew Nembhard,25905076,UTIL,6000,GSW@IND 12/14/2022 07:00PM ET,IND,21.33
